product,spec,La Lunar成本,VistaPrint,PrintToucan,4Over,OvernightPrints,StickerMule,建议售价,利润率,备注
"Die-Cut Stickers White Vinyl","2x2 in x 50","CA$24.00","Custom stickers via configurator (exact match not publicly listed)","Custom stickers via quote/calculator (exact 2x2 tier not publicly listed)","Trade login required (no public pricing)","N/A","StickerMule CA: CA$49 (2x2 die-cut, public)","CA$50.00","52.0%","StickerMule data is a direct public 2x2 die-cut reference."
"Die-Cut Stickers White Vinyl","2x2 in x 100","CA$38.00","Custom stickers via configurator (exact match not publicly listed)","Custom stickers via quote/calculator (exact 2x2 tier not publicly listed)","Trade login required (no public pricing)","N/A","StickerMule CA: CA$69 (2x2 die-cut, public)","CA$80.00","52.5%","StickerMule data is a direct public 2x2 die-cut reference."
"Die-Cut Stickers White Vinyl","2x2 in x 250","CA$72.00","Custom stickers via configurator (exact match not publicly listed)","Custom stickers via quote/calculator (exact 2x2 tier not publicly listed)","Trade login required (no public pricing)","N/A","StickerMule CA: CA$119 (2x2 die-cut, public)","CA$151.00","52.3%","StickerMule data is a direct public 2x2 die-cut reference."
"Die-Cut Stickers White Vinyl","2x2 in x 500","CA$118.00","Custom stickers via configurator (exact match not publicly listed)","Custom stickers via quote/calculator (exact 2x2 tier not publicly listed)","Trade login required (no public pricing)","N/A","StickerMule CA: CA$189 (2x2 die-cut, public)","CA$248.00","52.4%","StickerMule data is a direct public 2x2 die-cut reference."
"Die-Cut Stickers White Vinyl","2x2 in x 1000","CA$198.00","Custom stickers via configurator (exact match not publicly listed)","Custom stickers via quote/calculator (exact 2x2 tier not publicly listed)","Trade login required (no public pricing)","N/A","StickerMule CA: CA$299 (2x2 die-cut, public)","CA$416.00","52.4%","StickerMule data is a direct public 2x2 die-cut reference."
"Die-Cut Stickers Clear Vinyl","2x2 in x 100","CA$42.00","Custom clear stickers via configurator (no exact public tier)","Custom clear stickers via quote/calculator","Trade login required (no public pricing)","N/A","StickerMule CA Clear: CA$82 (2x2, 100)","CA$89.00","52.8%","Clear vinyl premium over white in cost model; StickerMule clear page used as market anchor."
"Kiss-Cut Stickers","2x2 in x 100","CA$34.00","Configurator / no exact kiss-cut tier shown publicly","Quote / no exact kiss-cut tier shown publicly","Trade login required (no public pricing)","N/A","StickerMule CA: CA$79 (2x2 kiss-cut)","CA$71.00","52.1%",""
"Kiss-Cut Stickers","2x2 in x 500","CA$128.00","Configurator / no exact kiss-cut tier shown publicly","Quote / no exact kiss-cut tier shown publicly","Trade login required (no public pricing)","N/A","StickerMule CA: CA$239 (2x2 kiss-cut)","CA$269.00","52.4%",""
"Sticker Sheets","8.5x11 in x 10","CA$18.00","Custom sticker sheets via configurator","Custom sticker sheets via quote","Trade login required (no public pricing)","N/A","StickerMule sticker sheets page shows starting price; exact 8.5x11 qty tier not publicly listed","CA$45.00","60.0%","Used internal cost + market parity estimate because exact public 8.5x11 x10/x25 tiers were not visible."
"Sticker Sheets","8.5x11 in x 25","CA$33.00","Custom sticker sheets via configurator","Custom sticker sheets via quote","Trade login required (no public pricing)","N/A","StickerMule sticker sheets page shows starting price; exact 8.5x11 qty tier not publicly listed","CA$75.00","56.0%","Used internal cost + market parity estimate because exact public 8.5x11 x10/x25 tiers were not visible."
